Device_ID;Идентификатор объекта;Имя объекта;Тип Объекта;Описание;371.center;371.zoom;371.bounds;371.id;371.kind;371.isBase;371.caption;371.minZoom;371.maxZoom;371.updateInterval;371.parent;371.reference;371.iconUrl;371.iconSize;371.popupAnchor;371.crd;371.description;371.visible;371.zooms;371.popupUrl;371.cols;371.html;371.visualization;371.replace.TEXT;371.replace.CH4;371.replace.C3H8;371.replace.CO;371.replace.H2;371.replace.DATA;371.replace.UNIT;371.content.icon;371.content.icon_active;371.replace.ON
846;75;77;79;28;371.center;371.zoom;371.bounds;371.id;371.kind;371.isBase;371.caption;371.minZoom;371.maxZoom;371.updateInterval;371.parent;371.reference;371.iconUrl;371.iconSize;371.popupAnchor;371.crd;371.description;371.visible;371.zooms;371.popupUrl;371.cols;371.html;371.visualization;371.replace.TEXT;371.replace.CH4;371.replace.C3H8;371.replace.CO;371.replace.H2;371.replace.DATA;371.replace.UNIT;371.content.icon;371.content.icon_active;371.replace.ON
1;43985;Map:base;54;Карта НПЗ;[300,-190];2;[[0,0],[700,-400]];base;layer;1;Карта НПЗ;2;5;200;;;;;;;;;;;;;;;;;;;;;;;
1;43986;Map:base/azs;54;Автозаправочные;;;;azs;;;Автозаправочные;;;;base;;;;;;;;;;;;;;;;;;;;;;
1;43987;Map:base/azs.1;54;АЗС-1;;;;;icon;;Маркер 1;;;;;Site:PETROL-STATIONS/PETROL-STATION_1.gas_gun_1_1_activated;/svg/marker/Gas.svg;[40,40];[0,-20];[318,-156];АЗС-1;1;[1,2,3,4,5];;;;;;;;;;;;;;
1;43988;Map:base/azs.2;54;АЗС-2;;;;;icon;;Маркер 2;;;;;Site:PETROL-STATIONS/PETROL-STATION_1.gas_gun_1_1_activated;/svg/marker/Gas.svg;[40,40];[0,-20];[260,-100];АЗС-2;1;[1,2,3,4,5];;;;;;;;;;;;;;
1;43992;Map:base/location;54;Локации сотрудников;;;;location;;;Локации сотрудников;;;;base;;;;;;;;;;;;;;;;;;;;;;
1;43193;Map:base/location.1;54;Подключение;;;;;icon;;Подключено локаций;;;;;Map:level02/4/120/-34;/svg/marker/Loc.svg;[40,40];[0,-20];[156,-220];Подключено локаций;1;[1,2];;;;;;;;;;;;;;
1;43194;Map:base/location.2;54;Пивоваров Владлен;;;;;icon;;"Инженер конструктор
<br>Пивоваров Владлен";;;;;Map:level02/4/120/-34;/svg/marker/People.svg;[40,40];[0,-20];[142,-233];"Инженер конструктор
<br>Пивоваров Владлен";1;[3,4,5];;;;;;;;;;;;;;
1;43195;Map:base/location.3;54;Сластников Федор;;;;;icon;;"Инженер метролог
<br>Сластников Федор";;;;;Map:level02/4/120/-34;/svg/marker/People.svg;[40,40];[0,-20];[194,-196];"Инженер метролог
<br>Сластников Федор";1;[3,4,5];;;;;;;;;;;;;;
